pack_code,pack_name,type_code,type_name,faction_code,faction_name,position,exceptional,myriad,code,name,real_name,subname,text,real_text,quantity,skill_willpower,skill_intellect,skill_combat,skill_agility,health,health_per_investigator,sanity,deck_limit,real_slot,traits,real_traits,deck_requirements,deck_options,flavor,illustrator,is_unique,permanent,double_sided,back_text,back_flavor,octgn_id,url,imagesrc,backimagesrc,duplicated_by,alternated_by,cost,xp,slot,subtype_code,subtype_name,errata_date,skill_wild,restrictions,tags,victory,enemy_damage,enemy_fight,enemy_evade,hidden,exile,linked_to_code,linked_to_name,linked_card,enemy_horror,faction2_code,faction2_name,bonded_cards,bonded_to,bonded_count,shroud,clues,alternate_of_code,alternate_of_name,duplicate_of_code,duplicate_of_name,faction3_code,faction3_name,customization_text,customization_change,customization_options,links_to_card_by_id
bob,Blood of Baalshandor,asset,Asset,neutral,Neutral,17,FALSE,FALSE,98017,Molly Maxwell,Molly Maxwell,The Exotic Morgana,"Dexter Drake deck only. Replacement.
[free] Exhaust Molly Maxwell and deal her 1 horror: Name any trait. One at a time, reveal cards from the top of your deck until an asset with the named trait is revealed. Draw that asset. Shuffle each other revealed card back into your deck.","Dexter Drake deck only. Replacement.
[free] Exhaust Molly Maxwell and deal her 1 horror: Name any trait. One at a time, reveal cards from the top of your deck until an asset with the named trait is revealed. Draw that asset. Shuffle each other revealed card back into your deck.",1,1,,,1,2,FALSE,4,1,Ally,Ally. Assistant.,Ally. Assistant.,,,,Drazenka Kimpel,TRUE,FALSE,FALSE,,,c71da431-85ee-4a76-b041-ae1b73b0de56,https://arkhamdb.com/card/98017,/bundles/cards/98017.png,,,,3,,Ally,,,,1,"{'investigator': {'07004': '07004', '98016': '98016'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,98016
bob,Blood of Baalshandor,treachery,Treachery,neutral,Neutral,18,FALSE,FALSE,98018,Yaztaroth,Yaztaroth,,"Dexter Drake deck only. Replacement.
<b>Revelation</b> - Put Yaztaroth into play in your threat area.
You cannot play assets or put assets into play.
[action] [action]: Discard Yaztaroth.","Dexter Drake deck only. Replacement.
<b>Revelation</b> - Put Yaztaroth into play in your threat area.
You cannot play assets or put assets into play.
[action] [action]: Discard Yaztaroth.",1,,,,,,FALSE,,1,,Curse. Pact.,Curse. Pact.,,,,Adam S. Doyle,TRUE,FALSE,FALSE,,,04883b22-3c62-4b06-845f-d592237c9ead,https://arkhamdb.com/card/98018,/bundles/cards/98018.png,,,,,,,weakness,Weakness,"{'date': '2021-06-28 00:00:00.000000', 'timezone_type': 3, 'timezone': 'UTC'}",,"{'investigator': {'07004': '07004', '98016': '98016'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,98016
btb,By the Book,investigator,Investigator,guardian,Guardian,24,FALSE,FALSE,90024,Roland Banks,Roland Banks,The Fed,"At deck creation, choose 3 different Directive assets to add to your deck.
[fast]: Flip a Directive asset facedown <i>(ignoring its permanent keyword)</i>. (Limit once per game.)
[elder_sign] effect: +2. Choose a Directive asset. You may ignore its regulation ability this round.","At deck creation, choose 3 different Directive assets to add to your deck.
[fast]: Flip a Directive asset facedown <i>(ignoring its permanent keyword)</i>. (Limit once per game.)
[elder_sign] effect: +2. Choose a Directive asset. You may ignore its regulation ability this round.",1,3,3,4,2,9,FALSE,5,1,,Agency. Detective.,Agency. Detective.,"{'size': 30, 'card': {'01006': {'01006': '01006', '98005': '98005', '90030': '90030'}, '01007': {'01007': '01007', '98006': '98006', '90031': '90031'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['guardian'], 'level': {'min': 0, 'max': 3}}, {'faction': ['neutral'], 'level': {'min': 0, 'max': 5}}, {'trait': ['insight', 'tactic'], 'level': {'min': 0, 'max': 3}}]","""If I stir up trouble, Sheriff, it will be because there's trouble to stir up.""",Magali Villeneuve,TRUE,FALSE,TRUE,"<b>Deck size</b>: 30.
<b>Deckbuilding Options</b>: Guardian cards ([guardian]) level 0-3, [[Insight]] cards level 0-3, [[Tactic]] cards level 0-3, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Roland's .38 Special, Cover Up, 1 random basic weakness.
<b>Bonus Experience</b>: You begin the campaign with 5 additional experience (does not affect the number of weakneses you must take in Standalone Mode).","Roland had always taken comfort in procedure and rules. As an agent in the Bureau, he was relieved to have guidelines to follow in any given situation. But lately, his Federal Agent's Handbook had been entirely unhelpful given the cases he'd been assigned. Try as he might, Roland could find no mention of what to do when confronted with strange creatures, gates through time and space, or magic spells. If he hadn't seen it with his own eyes, he would never have believed it... and there's no way his superiors would understand.",3306dbdf-fc6e-46c0-b5cb-f34254b8de51,https://arkhamdb.com/card/90024,/bundles/cards/90024.png,/bundles/cards/90024b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Roland Banks,,,,,,,,90024
btb,By the Book,asset,Asset,neutral,Neutral,25,FALSE,FALSE,90025,Directive,Directive,Due Diligence,"Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot fight more than twice each round.
[fast] During a skill test while investigating, evading, or parleying, exhaust Directive: You get +2 skill value for this test for each enemy engaged with you.","Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot fight more than twice each round.
[fast] During a skill test while investigating, evading, or parleying, exhaust Directive: You get +2 skill value for this test for each enemy engaged with you.",1,,,,,,FALSE,,1,,,,,,,Adam Lane,FALSE,TRUE,FALSE,,,700a6cb8-b7ed-4cff-ac6f-44decc193de0,https://arkhamdb.com/card/90025,/bundles/cards/90025.png,,,,,,,,,,,{'investigator': {'01001': '01001'}},pa.,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
btb,By the Book,asset,Asset,neutral,Neutral,26,FALSE,FALSE,90026,Directive,Directive,Red Tape,"Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot play more than 2 cards each round.
[reaction] When you play an [[Insight]] or [[Tactic]] event, exhaust this Directive: That event gains fast.","Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot play more than 2 cards each round.
[reaction] When you play an [[Insight]] or [[Tactic]] event, exhaust this Directive: That event gains fast.",1,,,,,,FALSE,,1,,,,,,,Adam Lane,FALSE,TRUE,FALSE,,,addb2e1a-9174-4766-bb3e-526448cacc0f,https://arkhamdb.com/card/90026,/bundles/cards/90026.png,,,,,,,,,,,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
btb,By the Book,asset,Asset,neutral,Neutral,27,FALSE,FALSE,90027,Directive,Directive,Consult Experts,"Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot voluntarily assign damage or horror to [[Ally]] assets.
You have 1 additional ally slot.","Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot voluntarily assign damage or horror to [[Ally]] assets.
You have 1 additional ally slot.",1,,,,,,FALSE,,1,,,,,,,Adam Lane,FALSE,TRUE,FALSE,,,19a3be08-b04a-4e42-ac41-c4a584989129,https://arkhamdb.com/card/90027,/bundles/cards/90027.png,,,,,,,,,,,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
btb,By the Book,asset,Asset,neutral,Neutral,28,FALSE,FALSE,90028,Directive,Directive,Seek the Truth,"Roland Bank deck only. Permanent.
<i>Regulation</i> - When your location has 1 or more clues, you cannot commit cards to skill tests unless you have discovered a clue this round.
[reaction] After you discover a clue, if an enemy is at your location, exhaust this Directive: Draw 1 card.","Roland Bank deck only. Permanent.
<i>Regulation</i> - When your location has 1 or more clues, you cannot commit cards to skill tests unless you have discovered a clue this round.
[reaction] After you discover a clue, if an enemy is at your location, exhaust this Directive: Draw 1 card.",1,,,,,,FALSE,,1,,,,,,,Adam Lane,FALSE,TRUE,FALSE,,,4f5a3a0a-6162-4a5a-b76c-524b44e3938c,https://arkhamdb.com/card/90028,/bundles/cards/90028.png,,,,,,,,,,,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
btb,By the Book,asset,Asset,neutral,Neutral,29,FALSE,FALSE,90029,Directive,Directive,Leave No Doubt,"Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot move more than twice each round.
You get +3 sanity.","Roland Bank deck only. Permanent.
<i>Regulation</i> - You cannot move more than twice each round.
You get +3 sanity.",1,,,,,,FALSE,,1,,,,,,,Adam Lane,FALSE,TRUE,FALSE,,,dd7e1721-d3ef-4b7e-b229-658320bd25a2,https://arkhamdb.com/card/90029,/bundles/cards/90029.png,,,,,,,,,,,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
btb,By the Book,asset,Asset,neutral,Neutral,30,FALSE,FALSE,90030,Roland's .38 Special,Roland's .38 Special,,"Roland Banks deck only. Advanced. Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +2 [combat] for this attack (if there are 1 or more clues on your location, you get +4 [combat], instead). This attack deals +1 damage. If this attack defeats an enemy and there are no clues on your location, place 1 ammo on Roland's .38 Special","Roland Banks deck only. Advanced. Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +2 [combat] for this attack (if there are 1 or more clues on your location, you get +4 [combat], instead). This attack deals +1 damage. If this attack defeats an enemy and there are no clues on your location, place 1 ammo on Roland's .38 Special",1,,1,1,1,,FALSE,,1,Hand,Item. Weapon. Firearm.,Item. Weapon. Firearm.,,,,Tiziano Baracchi,TRUE,FALSE,FALSE,,,5e59bf81-aebe-4386-8874-4bc6f31b1772,https://arkhamdb.com/card/90030,/bundles/cards/90030.png,,,,3,,Hand,,,,1,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
btb,By the Book,treachery,Treachery,neutral,Neutral,31,FALSE,FALSE,90031,Cover Up,Cover Up,,"Advanced.
<b>Revelation</b> - Put Cover Up into play in your threat area, with 4 clues on it.
[reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.
<b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.","Advanced.
<b>Revelation</b> - Put Cover Up into play in your threat area, with 4 clues on it.
[reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.
<b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.",1,,,,,,FALSE,,1,,Task.,Task.,,,,Marcin Jakubowski,FALSE,FALSE,FALSE,,,f09fe392-9073-4c42-8dd0-ae6687879f08,https://arkhamdb.com/card/90031,/bundles/cards/90031.png,,,,,,,weakness,Weakness,,,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90024
core,Core Set,investigator,Investigator,guardian,Guardian,1,FALSE,FALSE,01001,Roland Banks,Roland Banks,The Fed,"[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)
[elder_sign] effect: +1 for each clue on your location.","[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)
[elder_sign] effect: +1 for each clue on your location.",1,3,3,4,2,9,FALSE,5,1,,Agency. Detective.,Agency. Detective.,"{'size': 30, 'card': {'01006': {'01006': '01006', '98005': '98005', '90030': '90030'}, '01007': {'01007': '01007', '98006': '98006', '90031': '90031'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['guardian', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'faction': ['seeker'], 'level': {'min': 0, 'max': 2}}]","Everything by the book: every ""i"" dotted, every ""t"" crossed. It has worked, until now.",Magali Villeneuve,TRUE,FALSE,TRUE,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Guardian cards ([guardian]) level 0-5, Seeker cards ([seeker]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Roland's .38 Special, Cover Up, 1 random basic weakness.","Roland had always taken comfort in procedure and rules. As an agent in the Bureau, he was relieved to have guidelines to follow in any given situation. But lately, his Federal Agent's Handbook had been entirely unhelpful given the cases he'd been assigned. Try as he might, Roland could find no mention of what to do when confronted with strange creatures, gates through time and space, or magic spells. If he hadn't seen it with his own eyes, he would never have believed it... and there's no way his superiors would understand. Roland knew he would have to handle this one himself.",25f013a5-4ca2-4a34-9d03-e11e8ed93aaf:87041f6f-a325-4b5f-92b6-2df4d01790b1,https://arkhamdb.com/card/01001,/bundles/cards/01001.png,/bundles/cards/01001b.png,['01501'],"['01501', '90024']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01001
