pack_code,pack_name,type_code,type_name,faction_code,faction_name,position,exceptional,myriad,code,name,real_name,subname,text,real_text,quantity,skill_willpower,skill_intellect,skill_combat,skill_agility,health,health_per_investigator,sanity,deck_limit,real_slot,traits,real_traits,deck_requirements,deck_options,flavor,illustrator,is_unique,permanent,double_sided,back_text,back_flavor,octgn_id,url,imagesrc,backimagesrc,duplicated_by,alternated_by,cost,xp,slot,subtype_code,subtype_name,errata_date,skill_wild,restrictions,tags,victory,enemy_damage,enemy_fight,enemy_evade,hidden,exile,linked_to_code,linked_to_name,linked_card,enemy_horror,faction2_code,faction2_name,bonded_cards,bonded_to,bonded_count,shroud,clues,alternate_of_code,alternate_of_name,duplicate_of_code,duplicate_of_name,faction3_code,faction3_name,customization_text,customization_change,customization_options
core,Core Set,treachery,Treachery,neutral,Neutral,7,False,False,01007,Cover Up,Cover Up,,"<b>Revelation</b> - Put Cover Up into play in your threat area, with 3 clues on it.
[reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.
<b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.","<b>Revelation</b> - Put Cover Up into play in your threat area, with 3 clues on it.
[reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.
<b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.",1,,,,,,False,,1.0,,Task.,Task.,,,,Marcin Jakubowski,False,False,False,,,bc0a93e3-6643-49a2-9acc-8eaf681f4b2f,https://arkhamdb.com/card/01007,/bundles/cards/01007.png,,['01507'],,,,,weakness,Weakness,,,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,treachery,Treachery,neutral,Neutral,15,False,False,01015,Abandoned and Alone,Abandoned and Alone,,<b>Revelation</b> - Take 2 direct horror and remove all cards in your discard pile from the game.,<b>Revelation</b> - Take 2 direct horror and remove all cards in your discard pile from the game.,1,,,,,,False,,1.0,,Madness.,Madness.,,,I don't need them. I don't need anyone.,Ben Zweifel,False,False,False,,,cd4dfe53-cdd3-4a88-bdfd-a3920ece4ce5,https://arkhamdb.com/card/01015,/bundles/cards/01015.png,,['01515'],,,,,weakness,Weakness,,,{'investigator': {'01005': '01005'}},,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,treachery,Treachery,neutral,Neutral,97,False,False,01097,Paranoia,Paranoia,,<b>Revelation</b> - Discard all your resources.,<b>Revelation</b> - Discard all your resources.,2,,,,,,False,,2.0,,Madness.,Madness.,,,What was that noise?,Cristina Vela,False,False,False,,,9ca5f0a3-e74f-4068-bf67-9fe003cf17c0,https://arkhamdb.com/card/01097,/bundles/cards/01097.png,,['01597'],,,,,basicweakness,Basic Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,neutral,Neutral,86,False,False,01086,Knife,Knife,,"[action]: <b>Fight.</b> You get +1 [combat] for this attack.
[action] Discard Knife: <b>Fight.</b> You get +2 [combat] for this attack. This attack deals +1 damage.","[action]: <b>Fight.</b> You get +1 [combat] for this attack.
[action] Discard Knife: <b>Fight.</b> You get +2 [combat] for this attack. This attack deals +1 damage.",4,,,1.0,,,False,,2.0,Hand,Item. Weapon. Melee.,Item. Weapon. Melee.,,,,Henning Ludvigsen,False,False,False,,,8d1a826a-6d65-41fe-a487-55dbe23fd108,https://arkhamdb.com/card/01086,/bundles/cards/01086.png,,['01586'],,1.0,0.0,Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,guardian,Guardian,22,False,False,01022,Evidence!,Evidence!,,"Fast. Play after you defeat an enemy.
Discover 1 clue at your location.","Fast. Play after you defeat an enemy.
Discover 1 clue at your location.",1,,2.0,,,,False,,2.0,,Insight.,Insight.,,,Just as I suspected!,Mark Behm,False,False,False,,,2d213266-75eb-4763-8544-45935c113c3c,https://arkhamdb.com/card/01022,/bundles/cards/01022.png,,['01522'],,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,guardian,Guardian,21,False,False,01021,Guard Dog,Guard Dog,,[reaction] When an enemy attack deals damage to Guard Dog: Deal 1 damage to the attacking enemy.,[reaction] When an enemy attack deals damage to Guard Dog: Deal 1 damage to the attacking enemy.,1,,,1.0,,3.0,False,1.0,2.0,Ally,Ally. Creature.,Ally. Creature.,,,"Fiercely loyal, these trained canines make for perfect companions.",Stephen Somers,False,False,False,,,8fb609a2-6736-4b0a-aecb-fa32ad80694d,https://arkhamdb.com/card/01021,/bundles/cards/01021.png,,['01521'],,3.0,0.0,Ally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,skill,Skill,neutral,Neutral,92,False,False,01092,Manual Dexterity,Manual Dexterity,,"Max 1 committed per skill test.
If this test is successful, draw 1 card.","Max 1 committed per skill test.
If this test is successful, draw 1 card.",2,,,,2.0,,False,,2.0,,Innate.,Innate.,,,Too easy.,Priscilla Kim,False,False,False,,,6c496ca9-4cc7-4404-817d-ac581fa6d007,https://arkhamdb.com/card/01092,/bundles/cards/01092.png,,['01592'],,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,neutral,Neutral,88,False,False,01088,Emergency Cache,Emergency Cache,,Gain 3 resources.,Gain 3 resources.,4,,,,,,False,,2.0,,Supply.,Supply.,,,You can never be too prepared.,Vincent Dutrait,False,False,False,,,f1b84ac0-8196-4ce7-bd6e-9209c20f4df5,https://arkhamdb.com/card/01088,/bundles/cards/01088.png,,['01588'],,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,guardian,Guardian,24,False,False,01024,Dynamite Blast,Dynamite Blast,,Choose either your location or a connecting location. Deal 3 damage to each enemy and to each investigator at the chosen location.,Choose either your location or a connecting location. Deal 3 damage to each enemy and to each investigator at the chosen location.,1,1.0,,,,,False,,2.0,,Tactic.,Tactic.,,,,Dimitri Bielak,False,False,False,,,1213f9bd-b112-43ea-a092-d93b22795bf1,https://arkhamdb.com/card/01024,/bundles/cards/01024.png,,['01524'],,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,skill,Skill,neutral,Neutral,91,False,False,01091,Overpower,Overpower,,"Max 1 committed per skill test.
If this test is successful, draw 1 card.","Max 1 committed per skill test.
If this test is successful, draw 1 card.",2,,,2.0,,,False,,2.0,,Practiced.,Practiced.,,,"Die, you beast!",Jose Vega,False,False,False,,,513df658-9416-4209-b088-6e41ef8668d8,https://arkhamdb.com/card/01091,/bundles/cards/01091.png,,['01591'],,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,survivor,Survivor,84,False,False,01084,Lucky!,Lucky!,,"Fast. Play when you would fail a skill test.
Get +2 to your skill value for that test. Draw 1 card.","Fast. Play when you would fail a skill test.
Get +2 to your skill value for that test. Draw 1 card.",1,,,,,,False,,2.0,,Fortune.,Fortune.,,,,David Auden Nash,False,False,False,,,83a63517-f795-48d5-a64f-c90a93bbf3b0,https://arkhamdb.com/card/01084,/bundles/cards/01084.png,,['01584'],,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,mystic,Mystic,69,False,False,01069,Blinding Light,Blinding Light,,"<b>Evade.</b> This evasion attempt uses [willpower] instead of [agility]. If you succeed, deal 2 damage to the enemy just evaded. If a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol is revealed during this evasion attempt, lose 1 action this turn and take 1 horror.","<b>Evade.</b> This evasion attempt uses [willpower] instead of [agility]. If you succeed, deal 2 damage to the enemy just evaded. If a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol is revealed during this evasion attempt, lose 1 action this turn and take 1 horror.",1,1.0,,,1.0,,False,,2.0,,Spell.,Spell.,,,,Stephen Somers,False,False,False,,,e96a04c5-2e46-4d40-99ee-d3d667045622,https://arkhamdb.com/card/01069,/bundles/cards/01069.png,,['01569'],,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,survivor,Survivor,79,False,False,01079,"""Look what I found!""","""Look what I found!""",,"Fast. Play after you fail a skill test by 2 or less while investigating.
Discover 2 clues in your location.","Fast. Play after you fail a skill test by 2 or less while investigating.
Discover 2 clues in your location.",1,,2.0,,,,False,,2.0,,Fortune.,Fortune.,,,,Mark Molnar,False,False,False,,,49e032f2-28bc-4130-a15d-8914f2ece849,https://arkhamdb.com/card/01079,/bundles/cards/01079.png,,"['01579', '60517']",,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,guardian,Guardian,17,False,False,01017,Physical Training,Physical Training,,"[free] Spend 1 resource: You get +1 [willpower] for this skill test.
[free] Spend 1 resource: You get +1 [combat] for this skill test.","[free] Spend 1 resource: You get +1 [willpower] for this skill test.
[free] Spend 1 resource: You get +1 [combat] for this skill test.",1,1.0,,1.0,,,False,,2.0,,Talent.,Talent.,,,,Lake Hurwitz,False,False,False,,,97278962-9d51-44ab-92d9-b8307da166ea,https://arkhamdb.com/card/01017,/bundles/cards/01017.png,,"['01517', '60108']",,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,survivor,Survivor,74,False,False,01074,Baseball Bat,Baseball Bat,,"[action]: <b>Fight.</b> You get +2 [combat] for this attack. This attack deals +1 damage. If a [skull] or [auto_fail] symbol is revealed during this attack, discard Baseball Bat after the attack resolves.","[action]: <b>Fight.</b> You get +2 [combat] for this attack. This attack deals +1 damage. If a [skull] or [auto_fail] symbol is revealed during this attack, discard Baseball Bat after the attack resolves.",1,,,1.0,,,False,,2.0,Hand x2,Item. Weapon. Melee.,Item. Weapon. Melee.,,,,Mauro Dal Bo,False,False,False,,,e2289e5e-17d2-4576-af01-93969fc08781,https://arkhamdb.com/card/01074,/bundles/cards/01074.png,,['01574'],,2.0,0.0,Hand x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,survivor,Survivor,75,False,False,01075,Rabbit's Foot,Rabbit's Foot,,"[reaction] After you fail a skill test, exhaust Rabbit's Foot: Draw 1 card.","[reaction] After you fail a skill test, exhaust Rabbit's Foot: Draw 1 card.",1,,,,,,False,,2.0,Accessory,Item. Charm.,Item. Charm.,,,They claimed it would bring me good luck. I wouldn't say that's true. But now I feel like it would be even worse luck to get rid of it.,Matthew Cowdery,False,False,False,,,0c780dab-e3b2-4c0d-a7fc-ef5d7c19b012,https://arkhamdb.com/card/01075,/bundles/cards/01075.png,,"['01575', '60510']",,1.0,0.0,Accessory,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,seeker,Seeker,2,False,False,01002,Daisy Walker,Daisy Walker,The Librarian,"You may take an additional action during your turn, which can only be used on [[Tome]] [action] abilities.
[elder_sign] effect: +0. If you succeed, draw 1 card for each [[Tome]] you control.","You may take an additional action during your turn, which can only be used on [[Tome]] [action] abilities.
[elder_sign] effect: +0. If you succeed, draw 1 card for each [[Tome]] you control.",1,3.0,5.0,2.0,2.0,5.0,False,9.0,1.0,,Miskatonic.,Miskatonic.,"{'size': 30, 'card': {'01008': {'01008': '01008', '90002': '90002'}, '01009': {'01009': '01009', '90003': '90003'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['seeker', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'faction': ['mystic'], 'level': {'min': 0, 'max': 2}}]","""I know of books so powerful, they can rewrite reality.""",Magali Villeneuve,True,False,True,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Seeker cards ([seeker]) level 0-5, Mystic cards ([mystic]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Daisy’s Tote Bag, The Necronomicon (John Dee Translation), 1 random basic weakness.","As a respected librarian at Miskatonic University, Daisy had always felt that books were the most important thing in her life. She explored in fiction what she abhorred in life: horror, violence, fear. Then, she stumbled across the John Dee translation of the Necronomicon. It was blasphemous, unholy, and too awful to be read. But given her studies in obscure and occult subjects, Daisy knew there was more truth than fiction within the book's pages. She began to wonder what other secrets the restricted collection of the Orne Library held...",53463cb2-2261-4d8b-b948-d8f7a926ed79:8c96b7d1-18b8-40eb-830c-47a85cd1180f,https://arkhamdb.com/card/01002,/bundles/cards/01002.png,/bundles/cards/01002b.png,['01502'],"['01502', '90001']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
